Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
ytfH	b4212	putative transcriptional regulator YtfH		cytosol	DNA binding	P0ACN2	
qorB	b4211	NAD(P)H:quinone oxidoreductase		cytosol	NADPH dehydrogenase (quinone) activity // NADH dehydrogenase (quinone) activity // oxidoreductase activity // NAD(P)H dehydrogenase (quinone) activity // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	P39315	ytfG
ytfF	b4210	inner membrane protein YtfF		membrane // plasma membrane		P39314	
ytfE	b4209	iron-sulfur cluster repair protein YtfE	response to nitrosative stress // response to oxidative stress // iron incorporation into metallo-sulfur cluster // protein repair	cytoplasm // cytosol	nitrite reductase activity // protein binding // metal ion binding // iron ion binding	P69506	dnrN
cycA	b4208	D-serine/alanine/glycine:H<sup>+</sup>symporter	transmembrane transport // amino acid transport // D-alanine transport // L-alanine transport // beta-alanine transport // glycine transport // D-serine transport	membrane // plasma membrane	symporter activity // D-serine transmembrane transporter activity // D-alanine transmembrane transporter activity // L-alanine transmembrane transporter activity // beta-alanine transmembrane transporter activity // glycine transmembrane transporter activity	P0AAE0	ytfD // dagA
fklB	b4207	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	chaperone-mediated protein folding // protein peptidyl-prolyl isomerization // protein folding	cytoplasm // periplasmic space // cytosol	identical protein binding // isomerase activity // protein homodimerization activity // FK506 binding // peptidyl-prolyl cis-trans isomerase activity	P0A9L3	ytfC
ytfB	b4206	cell division protein YtfB	cell division // cell cycle // septum digestion after cytokinesis // FtsZ-dependent cytokinesis	extracellular region // plasma membrane // membrane	peptidoglycan binding // metalloendopeptidase activity	P39310	
ytfA	b4205	putative transcriptional regulator YtfA		cytosol		P39309	
yjfZ	b4204	DUF2686 domain-containing protein YjfZ		membrane		P39308	
rplI	b4203	50S ribosomal subunit protein L9	cytoplasmic translation // translation	ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic large ribosomal subunit	protein binding // structural constituent of ribosome // rRNA binding // RNA binding // large ribosomal subunit rRNA binding	P0A7R1	
rpsR	b4202	30S ribosomal subunit protein S18	cytoplasmic translation // translation	ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic small ribosomal subunit	protein binding // structural constituent of ribosome // rRNA binding // RNA binding // small ribosomal subunit rRNA binding // mRNA 5'-UTR binding	P0A7T7	
priB	b4201	primosomal replication protein N	replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of RNA primer // response to radiation // plasmid maintenance // DNA replication initiation	DnaB-DnaC-DnaT-PriA-PriB complex // pre-primosome complex // replisome // primosome complex // cytosol	identical protein binding // DNA binding // protein binding // single-stranded DNA binding	P07013	
rpsF	b4200	30S ribosomal subunit protein S6	cytoplasmic translation // translation	intracellular organelle // ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic small ribosomal subunit	structural constituent of ribosome // rRNA binding // RNA binding // protein binding // mRNA 5'-UTR binding // small ribosomal subunit rRNA binding	P02358	sdgH
yjfY	b4199	DUF1471 domain-containing protein YjfY		periplasmic space // cytosol		P0AF86	
ulaF	b4198	L-ribulose-5-phosphate 4-epimerase UlaF	monosaccharide metabolic process // pentose catabolic process // L-ascorbic acid catabolic process // L-ascorbic acid metabolic process	cytosol	catalytic activity // zinc ion binding // aldehyde-lyase activity // isomerase activity // metal ion binding // L-ribulose-phosphate 4-epimerase activity	P39306	yjfX // sgaE
ulaE	b4197	L-ribulose-5-phosphate 3-epimerase UlaE	carbohydrate metabolic process // L-ascorbic acid catabolic process // L-ascorbic acid metabolic process	cytosol	isomerase activity // intramolecular oxidoreductase activity, interconverting aldoses and ketoses // L-ribulose-5-phosphate 3-epimerase activity	P39305	sgaU // yjfW
ulaD	b4196	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	'de novo' pyrimidine nucleobase biosynthetic process // L-ascorbic acid catabolic process	cytosol	metal ion binding // carboxy-lyase activity // lyase activity // orotidine-5'-phosphate decarboxylase activity // 3-dehydro-L-gulonate-6-phosphate decarboxylase activity // magnesium ion binding	P39304	yjfV // sgaH
ulaC	b4195	L-ascorbate specific PTS enzyme IIA component	phosphorylation // L-ascorbic acid transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // plasma membrane // cytoplasm	transferase activity // kinase activity // protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity	P69820	ptxA // yjfU // sgaA
ulaB	b4194	L-ascorbate specific PTS enzyme IIB component	phosphorylation // L-ascorbic acid transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytosol // cytoplasm	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // transferase activity // kinase activity // protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity	P69822	yjfT // sgaB
ulaA	b4193	L-ascorbate specific PTS enzyme IIC component	organic substance transport // L-ascorbic acid transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // membrane // plasma membrane	identical protein binding // protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity	P39301	yjfS // sgaT
ulaG	b4192	L-ascorbate-6-phosphate lactonase	L-ascorbic acid catabolic process	cytosol // cytoplasm	carboxylic ester hydrolase activity // hydrolase activity // L-ascorbate 6-phosphate lactonase activity // manganese ion binding	P39300	yjfR
ulaR	b4191	DNA-binding transcriptional repressor UlaR	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // DNA-templated transcription	cytoplasm // cytosol	DNA-binding transcription factor activity // protein binding // DNA binding // L-ascorbic acid binding	P0A9W0	yjfQ
yjfP	b4190	carboxylesterase	proteolysis		serine-type peptidase activity // short-chain carboxylesterase activity // protein homodimerization activity // hydrolase activity	P39298	
bsmA	b4189	DUF1471 domain-containing putative lipoprotein BsmA	DNA damage response // single-species biofilm formation	plasma membrane // membrane // outer membrane-bounded periplasmic space		P39297	yjfO
yjfN	b4188	protease activator YjfN		periplasmic space	endopeptidase activator activity	P0AF82	
aidB	b4187	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	DNA damage response // negative regulation of DNA-templated transcription	cytosol // cytoplasm	identical protein binding // oxidoreductase activity, acting on the CH-CH group of donors // oxidoreductase activity // acyl-CoA dehydrogenase activity // protein binding // sequence-specific DNA binding // DNA binding // isovaleryl-CoA dehydrogenase activity	P33224	
yjfC	b4186	peptide&mdash;spermidine ligase YjfC		cytosol	metal ion binding // ligase activity // ATP binding // nucleotide binding	P33222	
yjfM	b4185	DUF1190 domain-containing protein YjfM				P39295	
yjfL	b4184	DUF350 domain-containing inner membrane protein YjfL		membrane // plasma membrane		P0AF80	
yjfK	b4183	DUF2491 domain-containing protein YjfK				P39293	
yjfJ	b4182	PspA family protein YjfJ		cytosol	identical protein binding	P0AF78	
yjfI	b4181	DUF2170 domain-containing protein YjfI		membrane		P0AF76	
rlmB	b4180	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	rRNA 2'-O-methylation // methylation // RNA processing // rRNA processing	cytoplasm // cytosol	protein binding // transferase activity // RNA methyltransferase activity // methyltransferase activity // RNA binding // rRNA (guanosine-2'-O-)-methyltransferase activity	P63177	yjfH
rnr	b4179	RNase R	miRNA catabolic process // RNA metabolic process // ncRNA processing // response to cold // mRNA catabolic process // response to stress	P-body // cytoplasm // cytosol	hydrolase activity // exonuclease activity // nuclease activity // RNA exonuclease activity, producing 5'-phosphomonoesters // nucleic acid binding // exoribonuclease II activity // RNA nuclease activity // RNA binding // protein binding // 3'-5' RNA helicase activity // ribonuclease R activity // 3'-5'-RNA exonuclease activity	P21499	vacB // yjeC
nsrR	b4178	DNA-binding transcriptional regulator NsrR	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription	cytosol	2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // iron ion binding // DNA-binding transcription factor activity // double-stranded DNA binding // DNA binding // nitric oxide binding	P0AF63	yjeB
purA	b4177	adenylosuccinate synthetase	IMP metabolic process // 'de novo' AMP biosynthetic process // DNA damage response // adenosine biosynthetic process // nucleobase-containing small molecule interconversion // purine nucleotide biosynthetic process	membrane // cytoplasm // cytosol	guanosine tetraphosphate binding // magnesium ion binding // ligase activity // metal ion binding // GTP binding // nucleotide binding // protein binding // protein homodimerization activity // adenylosuccinate synthase activity	P0A7D4	adeK
yjeT	b4176	DUF2065 domain-containing protein YjeT		plasma membrane // membrane		P0AF73	
hflC	b4175	regulator of FtsH protease	response to heat	plasma membrane protein complex // membrane // plasma membrane // membrane protein complex // outer membrane-bounded periplasmic space	protein binding	P0ABC3	hflA
hflK	b4174	regulator of FtsH protease	response to heat	plasma membrane protein complex // membrane // membrane protein complex // cytosol // outer membrane-bounded periplasmic space // plasma membrane	protein binding	P0ABC7	hslY // hflA
hflX	b4173	ribosome rescue factor HflX	viral latency // peptidyl-serine autophosphorylation // rescue of stalled ribosome // ribosome disassembly // response to heat	cytoplasm // cytosol	metal ion binding // nucleotide binding // ATP binding // guanosine tetraphosphate binding // ribosome binding // ribosomal large subunit binding // ATP hydrolysis activity // GTPase activity // rRNA binding // GTP binding	P25519	hslX // hflA
hfq	b4172	RNA-binding protein Hfq	ribosome biogenesis // tRNA processing // RNA folding // regulation of translation, ncRNA-mediated // regulation of RNA stability // regulation of DNA-templated transcription // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated	bacterial nucleoid // cytosol	tRNA binding // ATP binding // RNA folding chaperone // protein binding // DNA binding // bent DNA binding // RNA binding	P0A6X3	
